"Id","Name & Model","Year","Mileage","The Price"
128,"BMW 4 Series",2017,21164.0,25999.0
129,"Ford F-150",2014,90873.0,25499.0
130,"Chevrolet Tahoe",2017,80437.0,36999.0
131,"Mazda Mazda3",2019,8921.0,21499.0
132,"Ram 1500",2020,5693.0,44999.0
133,"Mercedes-Benz E-Class",2020,4570.0,59999.0
134,"BMW 5 Series",2018,32354.0,30999.0
135,"Mazda CX-5",2019,25703.0,24999.0
136,"GMC Yukon",2019,33461.0,57499.0
137,"Acura RDX",2018,26001.0,28999.0
138,"Chevrolet Silverado 1500",2019,25714.0,44999.0
139,"GMC Canyon",2018,23102.0,37999.0
140,"Volvo S90",2020,11462.0,39700.0
141,"INFINITI Q50",2016,42811.0,27999.0
142,"Nissan Titan",2015,80685.0,25823.0
143,"GMC Sierra 1500",2019,39495.0,50999.0
144,"Lexus NX",2020,10803.0,35499.0
145,"Mazda CX-5",2018,51993.0,22999.0
146,"Acura MDX",2015,71442.0,21642.0
147,"Mazda Mazda3",2018,20917.0,19999.0
148,"Subaru WRX",2018,46067.0,33499.0
149,"Ford Mustang",2018,29148.0,37499.0
150,"Hyundai Santa Fe Sport",2018,45549.0,19999.0
151,"Chevrolet Silverado 1500",2018,32605.0,40499.0
152,"Nissan JUKE",2014,60214.0,11999.0
153,"Acura RDX",2018,21779.0,28999.0
154,"Chevrolet Silverado 1500",2020,4960.0,52999.0
155,"Ford Super Duty F-250",2017,27276.0,64999.0
156,"Land Rover Discovery Sport",2019,5591.0,39499.0
157,"Land Rover Range Rover Sport",2018,49750.0,54999.0
158,"BMW i3",2015,49004.0,14999.0
159,"BMW 5 Series",2019,14866.0,40999.0
160,"Jeep Wrangler",2019,18643.0,36999.0
161,"Ram 1500",2020,5693.0,44999.0
162,"Nissan Titan",2017,28284.0,36999.0
163,"BMW 3 Series",2017,24233.0,21999.0
164,"Maserati Levante",2017,28947.0,50999.0
165,"Jeep Renegade",2017,38050.0,19999.0
166,"Lexus ES",2020,4732.0,43180.0
167,"Nissan Rogue Sport",2020,5715.0,21999.0
168,"Lexus NX",2020,21316.0,34999.0
169,"Cadillac CT6",2017,51257.0,30999.0
170,"Mazda CX-5",2019,25703.0,24999.0
171,"GMC Terrain",2019,32333.0,30499.0
172,"Audi S5",2018,30294.0,43999.0
173,"Ford Mustang",2015,97794.0,16250.0
174,"Subaru Outback",2016,26660.0,20999.0
175,"Honda Civic",2020,6801.0,24499.0
176,"Land Rover Discovery",2017,26572.0,42999.0
177,"Ford Fusion",2017,41281.0,16999.0
178,"Toyota Highlander",2020,10431.0,42999.0
179,"Toyota Tacoma",2017,43887.0,25999.0
180,"Alfa Romeo Giulia",2018,25265.0,25999.0
181,"GMC Canyon",2018,23102.0,37999.0
182,"Volvo XC90",2018,32656.0,38999.0
183,"Audi SQ5",2018,20360.0,42999.0
184,"Mazda CX-5",2019,5542.0,27499.0
185,"Ram 2500",2020,7903.0,70499.0
186,"Kia Sorento",2017,35425.0,26280.0
187,"Jeep Wrangler",2019,27497.0,48499.0
188,"BMW 4 Series",2017,21164.0,25999.0
189,"Ford F-150",2014,90873.0,25499.0
190,"Chevrolet Tahoe",2017,80437.0,36999.0
191,"Mazda Mazda3",2019,8921.0,21499.0
192,"Ram 1500",2020,5693.0,44999.0
193,"Mercedes-Benz E-Class",2020,4570.0,59999.0
194,"BMW 5 Series",2018,32354.0,30999.0
195,"Mazda CX-5",2019,25703.0,24999.0
196,"GMC Yukon",2019,33461.0,57499.0
197,"Acura RDX",2018,26001.0,28999.0
198,"Chevrolet Silverado 1500",2019,25714.0,44999.0
199,"GMC Canyon",2018,23102.0,37999.0
200,"Volvo S90",2020,11462.0,39700.0
201,"INFINITI Q50",2016,42811.0,27999.0
202,"Nissan Titan",2015,80685.0,25823.0
203,"GMC Sierra 1500",2019,39495.0,50999.0
204,"Lexus NX",2020,10803.0,35499.0
205,"Mazda CX-5",2018,51993.0,22999.0
206,"Acura MDX",2015,71442.0,21642.0
207,"Mazda Mazda3",2018,20917.0,19999.0
208,"Subaru WRX",2018,46067.0,33499.0
209,"Ford Mustang",2018,29148.0,37499.0
210,"Hyundai Santa Fe Sport",2018,45549.0,19999.0
211,"Chevrolet Silverado 1500",2018,32605.0,40499.0
212,"Volvo XC90",2018,32656.0,38999.0
213,"Audi SQ5",2018,20360.0,42999.0
214,"Mazda CX-5",2019,5542.0,27499.0
215,"Ram 2500",2020,7903.0,70499.0
216,"Kia Sorento",2017,35425.0,26280.0
217,"Jeep Wrangler",2019,27497.0,48499.0
218,"BMW 4 Series",2017,21164.0,25999.0
219,"Ford F-150",2014,90873.0,25499.0
220,"Chevrolet Tahoe",2017,80437.0,36999.0
221,"Mazda Mazda3",2019,8921.0,21499.0
222,"Ram 1500",2020,5693.0,44999.0
223,"Mercedes-Benz E-Class",2020,4570.0,59999.0
224,"BMW 5 Series",2018,32354.0,30999.0
225,"Mazda CX-5",2019,25703.0,24999.0
226,"GMC Yukon",2019,33461.0,57499.0
227,"Acura RDX",2018,26001.0,28999.0
228,"Chevrolet Silverado 1500",2019,25714.0,44999.0
229,"GMC Canyon",2018,23102.0,37999.0
230,"Volvo S90",2020,11462.0,39700.0
231,"INFINITI Q50",2016,42811.0,27999.0
232,"Nissan Titan",2015,80685.0,25823.0
233,"GMC Sierra 1500",2019,39495.0,50999.0
234,"Lexus NX",2020,10803.0,35499.0
235,"Mazda CX-5",2018,51993.0,22999.0
236,"Acura MDX",2015,71442.0,21642.0
237,"Mazda Mazda3",2018,20917.0,19999.0
238,"Subaru WRX",2018,46067.0,33499.0
239,"Ford Mustang",2018,29148.0,37499.0
240,"Hyundai Santa Fe Sport",2018,45549.0,19999.0
241,"Chevrolet Silverado 1500",2018,32605.0,40499.0
242,"Volvo XC90",2018,32656.0,38999.0
243,"Audi SQ5",2018,20360.0,42999.0
244,"Mazda CX-5",2019,5542.0,27499.0
245,"Ram 2500",2020,7903.0,70499.0
246,"Kia Sorento",2017,35425.0,26280.0
247,"Jeep Wrangler",2019,27497.0,48499.0
248,"BMW 4 Series",2017,21164.0,25999.0
249,"Ford F-150",2014,90873.0,25499.0
250,"Chevrolet Tahoe",2017,80437.0,36999.0
251,"Mazda Mazda3",2019,8921.0,21499.0
252,"Ram 1500",2020,5693.0,44999.0
253,"Mercedes-Benz E-Class",2020,4570.0,59999.0
254,"BMW 5 Series",2018,32354.0,30999.0
255,"Mazda CX-5",2019,25703.0,24999.0
